soc_id,sub_case,year,var_id,code,comment,references,source_coded_data,admin_comment
Aa1,Nyai Nyae region,1950,EA001,8,,biesele1972; biesele1975; biesele1976; draper1972; draper1975; drapernd; hansenetal1969; harpending1971; howell1979; howellnd; konner1971; konner1972; konner1973; konner1977; lee1966; lee1968; lee1972a; lee1974; lee1979; leeanddevore1976; marshall1956; marshall1957; marshall1957a; marshall1957b; marshall1958; marshall1959; marshall1960; marshall1961; marshall1962; marshall1965; marshall1976; marshallandmarshall1956; schapera1930; shostak1981; thomas1959; tobias1978,EthnographicAtlas_1967_p62,
Aa2,with special reference to Central Dorobo,1920,EA001,4,,huntingford1929; huntingford1942; huntingford1951; huntingford1953b; huntingford1954; huntingford1955a,EthnographicAtlas_1967_p62,
Aa3,Gei/Khauan tribe,1840,EA001,1,,hoernl1918; hoernl1925; kohler1970; murdock1934b:475-507; schapera1930; schultze1907,EthnographicAtlas_1967_p62,
Aa4,,1920,EA001,4,,lebzelter1934; schmidt1930; vedder1923,Ethnology_Vol1_No3_Jul_1962,
Aa5,"Epulu net-hunters, Ituri forest",1930,EA001,3,,deleeuwe1966; hart1978; putnam1948; turnbull1961; turnbull1965a; turnbull1965b; turnbull1965c; turnbull1983,EthnographicAtlas_1967_p62,
Aa6,,1920,EA001,1,,dempwolff1916; huntingford1953b; kimmenade1936,EthnographicAtlas_1967_p62,
Aa7,,1910,EA001,7,,bleek1924b; bleek1928; passarge1907; schapera1930,EthnographicAtlas_1967_p62,
Aa8,,1850,EA001,5,,barrow180104; bleek1924b; fritsch1872,Ethnology_Vol4_No3_Jul_1965,
Aa9,Hatsa Kindiga Tribe,1910,EA001,6,,bleek1931b; kohllarsen1958; woodburn1964; woodburn1968a; woodburn1968b; woodburn1970,EthnographicAtlas_1967_p62,
Ab1,,1900,EA001,1,,irle1906; vedder1928,EthnographicAtlas_1967_p62,
Ab10,,1936,EA001,0,,hunter1936,EthnographicAtlas_1967_p62,
Ab11,,1850,EA001,1,,borwnlee1927; kropf1889; soga1932,Ethnology_Vol7_No2_Apr_1968,
Ab12,,1830,EA001,0,,bryant1949; gluckman1940; gluckman1950; krige1936; mahloboandkrige1934; schapera1937; vilakazi1962,EthnographicAtlas_1967_p62,
Ab13,with special reference to the Kgatla (Bakxatla),1880,EA001,0,,brown1926; dorman1935; duggancronin1929; livingstone1858; schapera1938; schapera1941; schapera1950; schapera1953; schpera1941,EthnographicAtlas_1967_p62,
Ab14,,1930,EA001,1,,krigeandkrige1943,EthnographicAtlas_1967_p62,
Ab15,,1860,EA001,0,,duggancronin1931; franz1931; harries1939; harris1929; pitje1950; vanwarmelo1931; winter1914,Ethnology_Vol2_No2_Apr_1963,
Ab16,,1930,EA001,1,,earthy1933,EthnographicAtlas_1967_p62,
Ab17,,1920,EA001,0,,boas1922; dossantos1901; herskovits1923,Ethnology_Vol2_No2_Apr_1963,
Ab18,with special reference to the Zezuru,1920,EA001,1,,bullock1928; holleman1952; kuper1955; prost1956; seed193233,EthnographicAtlas_1967_p62,
Ab19,with special reference to the Kuanyama,1910,EA001,0,,krafft1914; lebzelter1935; loeb1962; tonejes1911,EthnographicAtlas_1967_p62,
Ab2,,1880,EA001,1,,kuper1950; kuper1974; marwick1940,EthnographicAtlas_1967_p62,
Ab20,,1880,EA001,0,,wunenberger1888,Ethnology_Vol2_No2_Apr_1963,
Ab21a,,1930,EA001,1,,magyar1859; mattenklodt1944,Ethnology_Vol5_No1_Jan_1966,
Ab21b,,1925,EA001,0,,cook1931,Ethnology_Vol7_No1_Jan_1968,
